
0it [00:00, ?it/s]
31843it [01:03, 542.43it/s]
31899it [01:04, 546.73it/s]
31964it [01:04, 572.53it/s]
32026it [01:04, 585.19it/s]
32085it [01:04, 575.64it/s]
32148it [01:04, 590.42it/s]
32208it [01:04, 591.66it/s]
32268it [01:04, 581.99it/s]
32328it [01:04, 587.01it/s]
32387it [01:04, 577.74it/s]
32445it [01:04, 566.25it/s]
32502it [01:05, 545.24it/s]
32557it [01:05, 544.45it/s]
32612it [01:05, 536.16it/s]
32675it [01:05, 560.08it/s]
32732it [01:05, 552.45it/s]
32793it [01:05, 566.83it/s]
32850it [01:05, 558.89it/s]
32907it [01:05, 561.90it/s]
32964it [01:05, 563.49it/s]
33026it [01:06, 578.82it/s]
33085it [01:06, 580.73it/s]
33145it [01:06, 583.37it/s]
33204it [01:06, 584.76it/s]
33263it [01:06, 579.50it/s]
33323it [01:06, 582.97it/s]
33382it [01:06, 584.74it/s]
33441it [01:06, 585.78it/s]
33503it [01:06, 594.83it/s]
33563it [01:06, 589.00it/s]
33622it [01:07, 577.02it/s]
33683it [01:07, 584.84it/s]
33742it [01:07, 573.23it/s]
33801it [01:07, 576.67it/s]
33860it [01:07, 579.95it/s]
33919it [01:07, 565.75it/s]
33976it [01:07, 564.44it/s]
34033it [01:07, 554.92it/s]
34095it [01:07, 572.55it/s]
34161it [01:07, 594.84it/s]
34221it [01:08, 574.90it/s]
34280it [01:08, 578.25it/s]
34339it [01:08, 579.10it/s]
34398it [01:08, 573.96it/s]
34462it [01:08, 590.31it/s]
34522it [01:08, 569.72it/s]
34585it [01:08, 583.96it/s]
34644it [01:08, 582.68it/s]
34703it [01:08, 552.81it/s]
34759it [01:09, 551.39it/s]
34819it [01:09, 565.05it/s]
34876it [01:09, 557.30it/s]
34933it [01:09, 558.61it/s]
34990it [01:09, 549.85it/s]
35047it [01:09, 554.91it/s]
35103it [01:09, 547.42it/s]
35167it [01:09, 569.90it/s]
35225it [01:09, 568.15it/s]
35283it [01:09, 554.99it/s]
35344it [01:10, 569.09it/s]
35402it [01:10, 560.47it/s]
35460it [01:10, 564.67it/s]
35517it [01:10, 561.28it/s]
35576it [01:10, 567.79it/s]
35637it [01:10, 579.79it/s]
35696it [01:10, 566.76it/s]
35753it [01:10, 556.65it/s]
35809it [01:10, 533.57it/s]
35865it [01:11, 540.87it/s]
35920it [01:11, 534.84it/s]
35981it [01:11, 553.81it/s]
36044it [01:11, 574.59it/s]
36102it [01:11, 574.84it/s]
36163it [01:11, 584.76it/s]
36222it [01:11, 570.65it/s]
36280it [01:11, 562.73it/s]
36337it [01:11, 537.17it/s]
36396it [01:11, 549.07it/s]
36458it [01:12, 566.82it/s]
36516it [01:12, 560.62it/s]
36575it [01:12, 566.87it/s]
36632it [01:12, 553.49it/s]
36688it [01:12, 524.43it/s]
36741it [01:12, 516.82it/s]
36794it [01:12, 491.84it/s]
36851it [01:12, 511.83it/s]
36915it [01:12, 543.84it/s]
36977it [01:13, 551.83it/s]
37039it [01:13, 570.63it/s]
37102it [01:13, 587.22it/s]
37162it [01:13, 580.88it/s]
37223it [01:13, 587.12it/s]
37283it [01:13, 571.91it/s]
37341it [01:13, 570.48it/s]
37399it [01:13, 548.88it/s]
37457it [01:13, 556.50it/s]
37515it [01:13, 562.71it/s]
37572it [01:14, 548.85it/s]
37630it [01:14, 556.16it/s]
37687it [01:14, 559.29it/s]
37744it [01:14, 543.45it/s]
37801it [01:14, 548.88it/s]
37857it [01:14, 515.58it/s]
37910it [01:14, 515.34it/s]
37963it [01:14, 516.68it/s]
38022it [01:14, 536.33it/s]
38077it [01:15, 527.98it/s]
38131it [01:15, 529.98it/s]
38185it [01:15, 519.70it/s]
38242it [01:15, 532.09it/s]
38303it [01:15, 552.56it/s]
38360it [01:15, 554.85it/s]
38416it [01:15, 541.93it/s]
38478it [01:15, 561.17it/s]
38535it [01:15, 559.65it/s]
38596it [01:15, 573.00it/s]
38654it [01:16, 566.39it/s]
38712it [01:16, 568.75it/s]
38770it [01:16, 555.51it/s]
38826it [01:16, 525.61it/s]
38882it [01:16, 534.90it/s]
38944it [01:16, 555.39it/s]
39000it [01:16, 546.91it/s]
39060it [01:16, 560.72it/s]
39117it [01:16, 540.68it/s]
39175it [01:17, 551.03it/s]
39231it [01:17, 524.62it/s]
39293it [01:17, 549.68it/s]
39353it [01:17, 562.82it/s]
39415it [01:17, 577.21it/s]
39478it [01:17, 591.17it/s]
39538it [01:17, 563.28it/s]
39595it [01:17, 537.72it/s]
39651it [01:17, 544.02it/s]
39711it [01:17, 558.12it/s]
39775it [01:18, 579.97it/s]
39834it [01:18, 569.55it/s]
39892it [01:18, 560.82it/s]
39949it [01:18, 542.06it/s]
40008it [01:18, 553.65it/s]
40064it [01:18, 535.33it/s]
40126it [01:18, 555.73it/s]
40183it [01:18, 549.14it/s]
40239it [01:18, 547.29it/s]
40294it [01:19, 537.01it/s]
40354it [01:19, 552.16it/s]
40416it [01:19, 568.66it/s]
40474it [01:19, 559.70it/s]
40534it [01:19, 569.86it/s]
40593it [01:19, 573.39it/s]
40651it [01:19, 535.53it/s]
40709it [01:19, 546.95it/s]
40768it [01:19, 559.16it/s]
40825it [01:19, 560.12it/s]
40884it [01:20, 566.31it/s]
40947it [01:20, 582.49it/s]
41007it [01:20, 587.38it/s]
41066it [01:20, 574.37it/s]
41124it [01:20, 573.93it/s]
41182it [01:20, 548.92it/s]
41239it [01:20, 554.81it/s]
41295it [01:20, 553.00it/s]
41353it [01:20, 559.82it/s]
41410it [01:21, 558.19it/s]
41468it [01:21, 562.68it/s]
41525it [01:21, 548.74it/s]
41585it [01:21, 562.31it/s]
41642it [01:21, 543.14it/s]
41700it [01:21, 553.11it/s]
41762it [01:21, 557.99it/s]
41824it [01:21, 574.71it/s]
41882it [01:21, 562.42it/s]
41945it [01:21, 578.46it/s]
42010it [01:22, 597.27it/s]
42071it [01:22, 591.97it/s]
42132it [01:22, 596.79it/s]
42194it [01:22, 600.85it/s]
42255it [01:22, 577.51it/s]
42314it [01:22, 574.41it/s]
42372it [01:22, 559.06it/s]
42429it [01:22, 556.97it/s]
42485it [01:22, 548.15it/s]
42545it [01:23, 561.24it/s]
42603it [01:23, 565.81it/s]
42660it [01:23, 548.48it/s]
42719it [01:23, 558.98it/s]
42776it [01:23, 535.14it/s]
42830it [01:23, 520.26it/s]
42885it [01:23, 527.65it/s]
42940it [01:23, 531.73it/s]
42994it [01:23, 518.86it/s]
43056it [01:23, 543.84it/s]
43111it [01:24, 533.45it/s]
43174it [01:24, 556.48it/s]
43232it [01:24, 561.62it/s]
43293it [01:24, 573.61it/s]
43351it [01:24, 562.65it/s]
43408it [01:24, 563.11it/s]
43467it [01:24, 570.83it/s]
43525it [01:24, 549.51it/s]
43581it [01:24, 537.51it/s]
43638it [01:25, 545.78it/s]
43693it [01:25, 539.09it/s]
43748it [01:25, 486.25it/s]
43806it [01:25, 497.58it/s]
43863it [01:25, 517.10it/s]
43924it [01:25, 541.46it/s]
43979it [01:25, 529.09it/s]
