
0it [00:00, ?it/s]
1724it [01:20, 11.23it/s]
1727it [01:20, 11.37it/s]
1732it [01:21, 14.33it/s]
1736it [01:21, 16.93it/s]
1740it [01:21, 20.08it/s]
1744it [01:21, 22.68it/s]
1748it [01:21, 21.05it/s]
1752it [01:21, 23.44it/s]
1755it [01:21, 23.95it/s]
1759it [01:22, 25.65it/s]
1762it [01:22, 26.62it/s]
1766it [01:22, 28.19it/s]
1770it [01:22, 28.63it/s]
1773it [01:23, 10.61it/s]
1776it [01:23,  6.56it/s]
1779it [01:24,  8.43it/s]
1782it [01:24, 10.69it/s]
1785it [01:24, 12.89it/s]
1789it [01:24, 16.02it/s]
1793it [01:24, 19.26it/s]
1798it [01:24, 22.79it/s]
1802it [01:24, 25.75it/s]
1808it [01:24, 30.06it/s]
1812it [01:25, 28.91it/s]
1816it [01:25, 20.20it/s]
1821it [01:25, 23.93it/s]
1825it [01:25, 26.20it/s]
1829it [01:25, 28.52it/s]
1833it [01:26,  8.65it/s]
1837it [01:27, 11.29it/s]
1841it [01:27, 14.37it/s]
1846it [01:27, 18.01it/s]
1852it [01:27, 22.39it/s]
1858it [01:27, 26.94it/s]
1863it [01:27, 31.08it/s]
1869it [01:27, 35.55it/s]
1875it [01:27, 39.69it/s]
1880it [01:27, 40.90it/s]
1885it [01:28, 38.60it/s]
1890it [01:28, 35.36it/s]
1894it [01:28, 36.38it/s]
1898it [01:28, 35.03it/s]
1903it [01:28, 37.74it/s]
1907it [01:29,  8.08it/s]
1911it [01:30, 10.56it/s]
1915it [01:30, 13.35it/s]
1920it [01:30, 17.00it/s]
1926it [01:30, 21.36it/s]
1932it [01:30, 25.88it/s]
1937it [01:30, 27.72it/s]
1942it [01:30, 29.06it/s]
1946it [01:30, 26.97it/s]
1950it [01:31, 29.63it/s]
1955it [01:31, 33.13it/s]
1961it [01:31, 37.29it/s]
1967it [01:31, 40.45it/s]
1974it [01:31, 44.64it/s]
1979it [01:32, 10.34it/s]
1983it [01:33, 13.20it/s]
1988it [01:33, 16.64it/s]
1992it [01:33, 19.70it/s]
1997it [01:33, 23.53it/s]
2002it [01:33, 27.29it/s]
2007it [01:33, 29.71it/s]
2011it [01:33, 27.56it/s]
2015it [01:33, 29.25it/s]
2019it [01:34, 30.06it/s]
2023it [01:34, 28.28it/s]
2027it [01:34, 30.21it/s]
2031it [01:35, 10.59it/s]
2034it [01:35,  7.53it/s]
2038it [01:36,  9.77it/s]
2042it [01:36, 12.37it/s]
2046it [01:36, 15.53it/s]
2049it [01:36, 17.54it/s]
2053it [01:36, 20.68it/s]
2057it [01:36, 22.74it/s]
2062it [01:36, 26.17it/s]
2066it [01:36, 28.74it/s]
2071it [01:36, 32.86it/s]
2075it [01:37, 31.82it/s]
2079it [01:37, 32.54it/s]
2083it [01:37, 31.86it/s]
2087it [01:37, 28.46it/s]
2091it [01:39,  7.36it/s]
2094it [01:39,  9.45it/s]
2099it [01:39, 12.40it/s]
2104it [01:39, 15.78it/s]
2108it [01:39, 18.34it/s]
2112it [01:39, 17.91it/s]
2116it [01:39, 20.90it/s]
2121it [01:39, 24.57it/s]
2125it [01:40, 25.98it/s]
2129it [01:40, 27.46it/s]
2133it [01:41,  8.44it/s]
2138it [01:41, 11.06it/s]
2141it [01:41, 10.68it/s]
2145it [01:41, 13.63it/s]
2149it [01:42, 16.69it/s]
2153it [01:42, 19.78it/s]
2158it [01:42, 23.34it/s]
2164it [01:42, 28.37it/s]
2169it [01:42, 30.29it/s]
2173it [01:42, 32.16it/s]
2177it [01:42, 27.83it/s]
2182it [01:42, 30.84it/s]
2187it [01:43, 33.85it/s]
2192it [01:43, 36.59it/s]
2197it [01:43, 33.22it/s]
2201it [01:45,  6.78it/s]
2205it [01:45,  8.83it/s]
2208it [01:45, 11.16it/s]
2212it [01:45, 13.90it/s]
2216it [01:45, 16.66it/s]
2220it [01:45, 19.47it/s]
2224it [01:45, 19.17it/s]
2227it [01:46, 19.11it/s]
2231it [01:46, 22.28it/s]
2235it [01:46, 24.77it/s]
2239it [01:46, 26.21it/s]
2242it [01:46, 22.41it/s]
2245it [01:46, 22.73it/s]
2248it [01:46, 21.36it/s]
2251it [01:47,  7.55it/s]
2255it [01:48,  9.87it/s]
2258it [01:48, 12.14it/s]
2262it [01:48, 15.03it/s]
2266it [01:48, 18.40it/s]
