
0it [00:00, ?it/s]
21026it [00:39, 570.55it/s]
21084it [00:39, 570.48it/s]
21148it [00:40, 586.18it/s]
21208it [00:40, 564.56it/s]
21267it [00:40, 569.80it/s]
21330it [00:40, 586.43it/s]
21398it [00:40, 609.62it/s]
21467it [00:40, 629.36it/s]
21531it [00:40, 598.76it/s]
21592it [00:40, 590.09it/s]
21659it [00:40, 610.31it/s]
21721it [00:40, 610.74it/s]
21783it [00:41, 597.93it/s]
21845it [00:41, 602.47it/s]
21912it [00:41, 620.03it/s]
21975it [00:41, 610.98it/s]
22039it [00:41, 617.06it/s]
22107it [00:41, 632.28it/s]
22171it [00:41, 629.95it/s]
22235it [00:41, 620.37it/s]
22303it [00:41, 635.36it/s]
22367it [00:42, 632.25it/s]
22439it [00:42, 654.32it/s]
22507it [00:42, 660.35it/s]
22578it [00:42, 671.91it/s]
22646it [00:42, 663.65it/s]
22714it [00:42, 668.36it/s]
22781it [00:42, 661.78it/s]
22849it [00:42, 665.23it/s]
22916it [00:42, 655.69it/s]
22983it [00:42, 659.12it/s]
23049it [00:43, 653.13it/s]
23119it [00:43, 665.42it/s]
23186it [00:43, 653.97it/s]
23252it [00:43, 651.54it/s]
23320it [00:43, 659.39it/s]
23387it [00:43, 653.71it/s]
23457it [00:43, 664.78it/s]
23524it [00:43, 653.35it/s]
23593it [00:43, 663.80it/s]
23660it [00:43, 660.01it/s]
23727it [00:44, 646.53it/s]
23795it [00:44, 656.19it/s]
23861it [00:44, 643.58it/s]
23931it [00:44, 657.13it/s]
23997it [00:44, 648.52it/s]
24064it [00:44, 653.18it/s]
24132it [00:44, 659.99it/s]
24199it [00:44, 636.80it/s]
24263it [00:44, 636.65it/s]
24327it [00:45, 605.70it/s]
24389it [00:45, 597.12it/s]
24450it [00:45, 588.25it/s]
24510it [00:45, 587.86it/s]
24572it [00:45, 595.32it/s]
24637it [00:45, 609.51it/s]
24699it [00:45, 608.79it/s]
24765it [00:45, 620.89it/s]
24835it [00:45, 640.52it/s]
24900it [00:45, 630.05it/s]
24969it [00:46, 646.20it/s]
25034it [00:46, 640.72it/s]
25102it [00:46, 649.47it/s]
25168it [00:46, 643.40it/s]
25236it [00:46, 653.22it/s]
25302it [00:46, 649.65it/s]
25369it [00:46, 655.39it/s]
25437it [00:46, 662.04it/s]
25504it [00:46, 652.43it/s]
25572it [00:46, 659.30it/s]
25639it [00:47, 647.39it/s]
25709it [00:47, 660.36it/s]
25776it [00:47, 650.52it/s]
25846it [00:47, 663.03it/s]
25913it [00:47, 653.05it/s]
25983it [00:47, 665.21it/s]
26054it [00:47, 675.45it/s]
26122it [00:47, 663.29it/s]
26191it [00:47, 668.58it/s]
26259it [00:48, 669.40it/s]
26327it [00:48, 657.08it/s]
26396it [00:48, 665.24it/s]
26466it [00:48, 672.27it/s]
26534it [00:48, 658.15it/s]
26603it [00:48, 667.00it/s]
26672it [00:48, 673.54it/s]
26740it [00:48, 659.05it/s]
26811it [00:48, 670.88it/s]
26879it [00:48, 667.08it/s]
