
0it [00:00, ?it/s]
31523it [00:31, 962.38it/s]
31620it [00:32, 964.29it/s]
31717it [00:32, 951.80it/s]
31813it [00:32, 936.98it/s]
31907it [00:32, 926.26it/s]
32001it [00:32, 930.05it/s]
32097it [00:32, 938.31it/s]
32191it [00:32, 936.27it/s]
32287it [00:32, 941.13it/s]
32384it [00:32, 948.02it/s]
32483it [00:32, 959.15it/s]
32579it [00:33, 949.00it/s]
32674it [00:33, 946.42it/s]
32769it [00:33, 942.09it/s]
32864it [00:33, 935.65it/s]
32959it [00:33, 938.19it/s]
33056it [00:33, 947.07it/s]
33151it [00:33, 947.52it/s]
33249it [00:33, 955.28it/s]
33348it [00:33, 965.07it/s]
33445it [00:33, 962.96it/s]
33542it [00:34, 953.38it/s]
33638it [00:34, 951.11it/s]
33734it [00:34, 929.88it/s]
33830it [00:34, 938.16it/s]
33926it [00:34, 944.00it/s]
34024it [00:34, 953.16it/s]
34121it [00:34, 955.18it/s]
34218it [00:34, 959.18it/s]
34316it [00:34, 963.86it/s]
34417it [00:35, 975.60it/s]
34516it [00:35, 978.74it/s]
34615it [00:35, 982.01it/s]
34714it [00:35, 977.23it/s]
34812it [00:35, 970.53it/s]
34910it [00:35, 964.68it/s]
35009it [00:35, 970.28it/s]
35107it [00:35, 967.59it/s]
35206it [00:35, 972.57it/s]
35306it [00:35, 978.84it/s]
35409it [00:36, 990.96it/s]
35514it [00:36, 1006.95it/s]
35615it [00:36, 988.60it/s] 
35717it [00:36, 996.71it/s]
35817it [00:36, 993.90it/s]
35918it [00:36, 996.22it/s]
36019it [00:36, 999.68it/s]
36120it [00:36, 994.80it/s]
36220it [00:36, 991.09it/s]
36320it [00:36, 986.98it/s]
36419it [00:37, 986.80it/s]
36518it [00:37, 984.62it/s]
36617it [00:37, 980.89it/s]
36716it [00:37, 981.86it/s]
36817it [00:37, 988.42it/s]
36919it [00:37, 996.36it/s]
37020it [00:37, 1000.10it/s]
37121it [00:37, 978.75it/s] 
37225it [00:37, 993.90it/s]
37325it [00:37, 993.62it/s]
37425it [00:38, 969.83it/s]
37529it [00:38, 988.30it/s]
37629it [00:38, 978.38it/s]
37728it [00:38, 980.92it/s]
37827it [00:38, 960.88it/s]
37932it [00:38, 984.40it/s]
38036it [00:38, 998.73it/s]
38141it [00:38, 1011.07it/s]
38248it [00:38, 1026.85it/s]
38351it [00:39, 879.50it/s] 
38448it [00:39, 903.28it/s]
38554it [00:39, 944.17it/s]
38658it [00:39, 970.40it/s]
38765it [00:39, 997.17it/s]
38867it [00:39, 1002.90it/s]
38976it [00:39, 1025.54it/s]
39081it [00:39, 1032.72it/s]
39190it [00:39, 1047.08it/s]
39297it [00:39, 1052.80it/s]
39403it [00:40, 1050.40it/s]
39513it [00:40, 1062.29it/s]
39620it [00:40, 1053.93it/s]
39726it [00:40, 1030.45it/s]
39830it [00:40, 983.49it/s] 
39932it [00:40, 991.96it/s]
40033it [00:40, 996.00it/s]
40133it [00:40, 989.81it/s]
40239it [00:40, 1008.86it/s]
40341it [00:40, 1002.62it/s]
40446it [00:41, 1014.13it/s]
40548it [00:41, 1009.87it/s]
40650it [00:41, 1001.76it/s]
40752it [00:41, 1004.86it/s]
40853it [00:41, 1001.03it/s]
40959it [00:41, 1016.84it/s]
41064it [00:41, 1025.87it/s]
41167it [00:41, 1015.91it/s]
41269it [00:41, 989.10it/s] 
41375it [00:41, 1006.95it/s]
41480it [00:42, 1017.56it/s]
41582it [00:42, 1012.03it/s]
41684it [00:42, 995.84it/s] 
41784it [00:42, 993.60it/s]
41884it [00:42, 995.42it/s]
41987it [00:42, 1004.03it/s]
42091it [00:42, 1014.19it/s]
42193it [00:42, 1004.30it/s]
42294it [00:42, 997.85it/s] 
42394it [00:43, 993.53it/s]
42494it [00:43, 994.45it/s]
42596it [00:43, 1001.53it/s]
42697it [00:43, 987.81it/s] 
42799it [00:43, 995.49it/s]
42901it [00:43, 1000.68it/s]
43004it [00:43, 1006.88it/s]
43109it [00:43, 1019.22it/s]
43212it [00:43, 1021.30it/s]
43315it [00:43, 1020.54it/s]
43419it [00:44, 1025.35it/s]
43522it [00:44, 1021.80it/s]
43625it [00:44, 1023.33it/s]
43730it [00:44, 1028.74it/s]
43833it [00:44, 1019.44it/s]
43937it [00:44, 1024.79it/s]
44040it [00:44, 1019.96it/s]
44143it [00:44, 1011.22it/s]
44245it [00:44, 998.08it/s] 
44347it [00:44, 1003.38it/s]
44448it [00:45, 996.41it/s] 
44548it [00:45, 994.22it/s]
44648it [00:45, 990.72it/s]
44749it [00:45, 994.23it/s]
44849it [00:45, 990.55it/s]
44952it [00:45, 1001.39it/s]
45055it [00:45, 1009.32it/s]
45157it [00:45, 1009.86it/s]
45259it [00:45, 999.27it/s] 
45359it [00:45, 994.35it/s]
45463it [00:46, 1004.73it/s]
45567it [00:46, 1012.50it/s]
45669it [00:46, 1008.26it/s]
45773it [00:46, 1015.36it/s]
45875it [00:46, 1008.27it/s]
45980it [00:46, 1019.12it/s]
46083it [00:46, 1019.51it/s]
46185it [00:46, 1019.63it/s]
46287it [00:46, 1016.11it/s]
46389it [00:46, 1008.12it/s]
46493it [00:47, 1014.91it/s]
46595it [00:47, 1008.76it/s]
46696it [00:47, 1004.50it/s]
46797it [00:47, 997.57it/s] 
46902it [00:47, 1011.71it/s]
47004it [00:47, 1002.75it/s]
47105it [00:47, 1000.76it/s]
47207it [00:47, 1003.43it/s]
47309it [00:47, 1006.34it/s]
47410it [00:47, 1005.50it/s]
47511it [00:48, 1004.40it/s]
47612it [00:48, 999.00it/s] 
47715it [00:48, 1005.19it/s]
47816it [00:48, 1006.04it/s]
47917it [00:48, 1005.34it/s]
48018it [00:48, 1005.90it/s]
48119it [00:48, 999.98it/s] 
48222it [00:48, 1008.10it/s]
48324it [00:48, 1011.16it/s]
48426it [00:48, 1009.47it/s]
48529it [00:49, 1013.79it/s]
48631it [00:49, 1010.98it/s]
48733it [00:49, 1009.27it/s]
48834it [00:49, 1004.89it/s]
48938it [00:49, 1014.55it/s]
49042it [00:49, 1021.52it/s]
49149it [00:49, 1034.21it/s]
49255it [00:49, 1041.07it/s]
49360it [00:49, 1030.06it/s]
49464it [00:50, 1024.19it/s]
49567it [00:50, 1016.31it/s]
49669it [00:50, 990.46it/s] 
49769it [00:50, 982.16it/s]
49868it [00:50, 982.04it/s]
49967it [00:50, 982.89it/s]Traceback (most recent call last):
  File "agent.py", line 232, in <module>
    argh.dispatch_command(main)
  File "/home/student/.local/lib/python3.8/site-packages/argh/dispatching.py", line 306, in dispatch_command
    dispatch(parser, *args, **kwargs)
  File "/home/student/.local/lib/python3.8/site-packages/argh/dispatching.py", line 174, in dispatch
    for line in lines:
  File "/home/student/.local/lib/python3.8/site-packages/argh/dispatching.py", line 277, in _execute_command
    for line in result:
  File "/home/student/.local/lib/python3.8/site-packages/argh/dispatching.py", line 260, in _call
    result = function(*positional, **keywords)
  File "agent.py", line 195, in main
    loss = train_step(m, rb.sample(sample_size), target, env.action_space.n)
  File "agent.py", line 86, in train_step
    one_hot_actions = F.one_hot(torch.LongTensor(actions), num_actions)
RuntimeError: Class values must be smaller than num_classes.
